"SampleID"	"SiteID"	"Layer"	"Moisture"	"SOM"	"SOC"	"New_Layer"	"Lake"	"Lat"	"Long"	"Habitat"	"sobs"	"chao"	"coverage"	"shannon"	"simpson"
"12"	"14A3"	"14A"	3	16.78690552	10.37549963	6.018271249	"Deep"	"Quesnel_Lake"	52.50768	-121.48987	"C"	1597	4544.224215	0.575657	7.082719	0.000914
"13"	"14A4"	"14A"	4	20.50879007	6.413592132	3.720181051	"Deep"	"Quesnel_Lake"	52.50768	-121.48987	"C"	1378	3342.054795	0.657438	6.818344	0.001585
"14"	"14A6"	"14A"	6	23.45153766	8.642497766	5.013049749	"Sediment"	"Quesnel_Lake"	52.50768	-121.48987	"C"	1463	4329.893939	0.622922	6.762562	0.002418
"15"	"15A1"	"15A"	1	10.02976161	15.65246918	9.079158457	"Shallow"	"Quesnel_Lake"	52.50932	-121.49087	"E"	1469	3592.104167	0.630848	6.913944	0.001334
"16"	"15A2"	"15A"	2	12.97395057	-30.76539789	-17.84535841	"Shallow"	"Quesnel_Lake"	52.50932	-121.49087	"E"	1542	3926.469136	0.606072	7.003141	0.001134
"17"	"15A3"	"15A"	3	18.26173884	9.626018924	5.583537659	"Deep"	"Quesnel_Lake"	52.50932	-121.49087	"E"	1077	2603.705882	0.748806	6.349078	0.003812
"18"	"15A4"	"15A"	4	22.74788904	10.08946858	5.852359964	"Deep"	"Quesnel_Lake"	52.50932	-121.49087	"E"	1089	2154.597015	0.765653	6.330601	0.004091
"19"	"15A5"	"15A"	5	15.01254667	11.60152959	6.729425515	"Sediment"	"Quesnel_Lake"	52.50932	-121.49087	"E"	1178	2511.804878	0.730909	6.476895	0.003362
"20"	"16A2"	"16A"	2	10.94012277	22.87860445	13.27065223	"Shallow"	"Quesnel_Lake"	52.50753	-121.51014	"E"	1446	3680.846491	0.632861	6.835297	0.001742
"21"	"16A5"	"16A"	5	18.80203515	7.993115861	4.63637811	"Sediment"	"Quesnel_Lake"	52.50753	-121.51014	"E"	1138	3099.272727	0.719317	6.004162	0.010506
"22"	"16A6"	"16A"	6	21.75357123	15.82258372	9.177832784	"Sediment"	"Quesnel_Lake"	52.50753	-121.51014	"E"	1358	3482.757426	0.671043	6.662836	0.002822
"23"	"17A1"	"17A"	1	7.132592994	13.68858967	7.940017213	"Shallow"	"Quesnel_Lake"	52.50926	-121.51233	"C"	1459	3615.665236	0.628656	6.855857	0.002613
"24"	"17A2"	"17A"	2	43.2100253	186.9156235	108.4197352	"Shallow"	"Quesnel_Lake"	52.50926	-121.51233	"C"	1400	3250.190678	0.66	6.75597	0.002546
"25"	"17A3"	"17A"	3	10.13616933	13.06375332	7.577583133	"Deep"	"Quesnel_Lake"	52.50926	-121.51233	"C"	1510	4130.423256	0.612409	6.932361	0.001613
"26"	"17A4"	"17A"	4	7.088459622	17.50725175	10.15501842	"Deep"	"Quesnel_Lake"	52.50926	-121.51233	"C"	1401	3373.921053	0.647866	6.814313	0.001969
"27"	"17A5"	"17A"	5	17.56337031	4.071185625	2.361476581	"Sediment"	"Quesnel_Lake"	52.50926	-121.51233	"C"	1451	3712.491228	0.639716	6.781675	0.002262
"28"	"17A6"	"17A"	6	19.23161115	11.77893135	6.832326768	"Sediment"	"Quesnel_Lake"	52.50926	-121.51233	"C"	1355	3640.378109	0.660411	6.462649	0.009003
"29"	"18A1"	"18A"	1	5.859464289	17.95125074	10.41255843	"Shallow"	"Quesnel_Lake"	52.5173	-121.49928	"D"	1587	4219.784232	0.582902	7.045851	0.001153
"30"	"18A2"	"18A"	2	2.021362635	3.575067886	2.073705271	"Shallow"	"Quesnel_Lake"	52.5173	-121.49928	"D"	1533	3679.523077	0.608953	6.989914	0.001352
"31"	"18A3"	"18A"	3	13.03517546	14.20393979	8.238944196	"Deep"	"Quesnel_Lake"	52.5173	-121.49928	"D"	1235	2805.223881	0.706642	6.618221	0.002278
"32"	"18A4"	"18A"	4	1.668567829	11.92088339	6.914665538	"Deep"	"Quesnel_Lake"	52.5173	-121.49928	"D"	1505	3604.409639	0.62069	6.970277	0.00136
"33"	"18A5"	"18A"	5	18.62731474	4.402898637	2.55388552	"Sediment"	"Quesnel_Lake"	52.5173	-121.49928	"D"	1248	2634.955157	0.714234	6.598761	0.002798
"34"	"18A6"	"18A"	6	19.51322004	7.894077354	4.57893118	"Sediment"	"Quesnel_Lake"	52.5173	-121.49928	"D"	1303	3049.027273	0.686225	6.551775	0.003597
"35"	"1A1"	"1A"	1	36.97546291	90.91482593	52.73481782	"Shallow"	"Polley_Lake"	52.57999	-121.62884	"A"	1621	4319.164	0.579443	7.064845	0.001078
"36"	"1A2"	"1A"	2	24.69289934	34.41487315	19.9622234	"Shallow"	"Polley_Lake"	52.57999	-121.62884	"A"	871	1775.419355	0.817178	5.690872	0.011569
"37"	"1A4"	"1A"	4	24.89534483	38.85544038	22.53795846	"Deep"	"Polley_Lake"	52.57999	-121.62884	"A"	485	1270	0.892638	4.136434	0.063265
"38"	"1A5"	"1A"	5	91.11839654	854.0268456	495.3752005	"Sediment"	"Polley_Lake"	52.57999	-121.62884	"A"	888	1978.043478	0.810297	5.85479	0.006878
"39"	"1A6"	"1A"	6	17.27802135	11.11268451	6.445872685	"Sediment"	"Polley_Lake"	52.57999	-121.62884	"A"	784	1947.4375	0.82619	5.360106	0.016761
"40"	"20A1"	"20A"	1	56.73135276	384.2390241	222.8764641	"Shallow"	"Quesnel_Lake"	52.53609	-121.51356	"A"	1469	3483.785124	0.636364	6.958259	0.001122
"41"	"20A2"	"20A"	2	45.7914608	213.3317627	123.7423217	"Shallow"	"Quesnel_Lake"	52.53609	-121.51356	"A"	1492	3490.807692	0.628551	6.935084	0.001354
"42"	"20A3"	"20A"	3	7.499630996	13.15376555	7.629794403	"Deep"	"Quesnel_Lake"	52.53609	-121.51356	"A"	1217	2799.14433	0.718492	6.570968	0.002428
"43"	"20A4"	"20A"	4	10.72323336	2.843395736	1.649301471	"Deep"	"Quesnel_Lake"	52.53609	-121.51356	"A"	935	1872.124183	0.809117	6.182349	0.003675
"44"	"20A5"	"20A"	5	19.7900097	10.78038369	6.253122791	"Sediment"	"Quesnel_Lake"	52.53609	-121.51356	"A"	1423	4067.53	0.633416	6.642719	0.004617
"45"	"21A1"	"21A"	1	17.64126197	11.10915596	6.443825964	"Shallow"	"Quesnel_Lake"	52.54501	-121.51871	"A"	1482	3832.231441	0.61655	6.918249	0.001451
"46"	"21A1"	"21A"	1	26.59192259	55.48789145	32.18555188	"Shallow"	"Quesnel_Lake"	52.54501	-121.51871	"A"	1482	3832.231441	0.61655	6.918249	0.001451
"47"	"21A2"	"21A"	2	33.38364108	67.17542357	38.96486286	"Shallow"	"Quesnel_Lake"	52.54501	-121.51871	"A"	1001	2803.5	0.742224	5.06265	0.087581
"48"	"21A3"	"21A"	3	14.92094401	6.66378286	3.865303283	"Deep"	"Quesnel_Lake"	52.54501	-121.51871	"A"	1220	2630.138889	0.715275	6.513206	0.003575
"49"	"21A5"	"21A"	5	22.1910206	8.649658814	5.017203489	"Sediment"	"Quesnel_Lake"	52.54501	-121.51871	"A"	1492	3514.039216	0.631082	6.943591	0.001323
"50"	"22A1"	"22A"	1	31.27199017	38.12769339	22.11583143	"Shallow"	"BootJack_Lake"	52.55796	-121.67427	"A"	1354	3694.14	0.654162	6.542177	0.004077
"51"	"22A3"	"22A"	3	28.99965234	11.94633869	6.929430794	"Deep"	"BootJack_Lake"	52.55796	-121.67427	"A"	1426	3948.5	0.633394	6.768744	0.002341
"52"	"22A3"	"22A"	3	21.8036864	16.56921934	9.610916092	"Deep"	"BootJack_Lake"	52.55796	-121.67427	"A"	1426	3948.5	0.633394	6.768744	0.002341
"53"	"24A1"	"24A"	1	16.01766729	8.199589498	4.7561424	"Shallow"	"BootJack_Lake"	52.55463	-121.67474	"D"	1434	3774.647619	0.643678	6.846816	0.001594
"54"	"24A2"	"24A"	2	14.2390171	14.31951107	8.305980901	"Shallow"	"BootJack_Lake"	52.55463	-121.67474	"D"	1436	3656.681223	0.637311	6.738921	0.002806
"55"	"24A3"	"24A"	3	11.69248344	10.04634492	5.827346243	"Deep"	"BootJack_Lake"	52.55463	-121.67474	"D"	1115	3080.096774	0.725097	5.762768	0.029012
"56"	"24A4"	"24A"	4	20.73384549	11.86053246	6.8796592	"Deep"	"BootJack_Lake"	52.55463	-121.67474	"D"	1361	3547.161137	0.653194	6.466649	0.008116
"57"	"24A5"	"24A"	5	19.59105906	11.87641592	6.888872345	"Sediment"	"BootJack_Lake"	52.55463	-121.67474	"D"	1279	3596.687861	0.685504	6.520595	0.003081
"58"	"24A6"	"24A"	6	22.47446956	14.11356883	8.186524846	"Sediment"	"BootJack_Lake"	52.55463	-121.67474	"D"	1310	3140.805825	0.692607	6.616999	0.002912
"59"	"25A1"	"25A"	1	74.62806415	402.7692308	233.6248438	"Shallow"	"BootJack_Lake"	52.55198	-121.67287	"A"	1548	4549.777251	0.596705	6.938158	0.001467
"60"	"25A2"	"25A"	2	79.30291818	472.5366876	274.0932063	"Shallow"	"BootJack_Lake"	52.55198	-121.67287	"A"	1531	4234.348214	0.602096	6.910406	0.001693
"61"	"25A3"	"25A"	3	65.92674904	353.1680298	204.8538456	"Deep"	"BootJack_Lake"	52.55198	-121.67287	"A"	1215	2761.142132	0.719871	6.547766	0.002607
"62"	"25A4"	"25A"	4	70.95797478	456.5859267	264.8410248	"Deep"	"BootJack_Lake"	52.55198	-121.67287	"A"	1074	2452.46988	0.757435	6.27011	0.004483
"63"	"25A5"	"25A"	5	72.73623549	473.5890482	274.7036242	"Sediment"	"BootJack_Lake"	52.55198	-121.67287	"A"	1651	5645.340102	0.547911	6.967982	0.002847
"64"	"25A6"	"25A"	6	74.68384398	406.9903367	236.0732811	"Sediment"	"BootJack_Lake"	52.55198	-121.67287	"A"	1640	4743.017167	0.572647	7.014268	0.001569
"65"	"2A1"	"2A"	1	19.68241871	12.29340828	7.130747264	"Shallow"	"Polley_Lake"	52.56072	-121.61839	"B"	1561	4231.257511	0.607319	6.917634	0.001835
"66"	"2A2"	"2A"	2	20.75639863	23.28121445	13.50418471	"Shallow"	"Polley_Lake"	52.56072	-121.61839	"B"	1145	2806.954023	0.734751	6.112934	0.011907
"67"	"2A5"	"2A"	5	18.27359825	9.946714032	5.769555703	"Sediment"	"Polley_Lake"	52.56072	-121.61839	"B"	628	1254.041237	0.880928	5.25087	0.014683
"68"	"2A6"	"2A"	6	17.37779753	4.962914155	2.878720508	"Sediment"	"Polley_Lake"	52.56072	-121.61839	"B"	693	1539.66	0.860528	5.34703	0.014786
"69"	"33A1"	"33A"	1	19.96505994	11.1190169	6.449545763	"Shallow"	"BootJack_Lake"	52.54499	-121.65102	"A"	1368	3613.485577	0.655504	6.580094	0.003963
"70"	"33A2"	"33A"	2	24.38713989	12.44770571	7.220246932	"Shallow"	"BootJack_Lake"	52.54499	-121.65102	"A"	1542	4536.671429	0.599715	6.867556	0.002301
"71"	"33A5"	"33A"	5	20.8721343	19.0975658	11.07747436	"Sediment"	"BootJack_Lake"	52.54499	-121.65102	"A"	1175	3086.910714	0.723829	6.118826	0.011591
"72"	"33A6"	"33A"	6	21.59439916	5.403185859	3.134098526	"Sediment"	"BootJack_Lake"	52.54499	-121.65102	"A"	1377	3341.054795	0.676542	6.675943	0.003225
"73"	"36A1"	"36A"	1	18.5379999	1.866241194	1.082506493	"Shallow"	"Hazeltine_Creek"	52.51247	-121.57034	"F"	316	674.212766	0.938214	3.054636	0.208912
"74"	"36A4"	"36A"	4	14.53917526	0.422210695	0.244901795	"Deep"	"Hazeltine_Creek"	52.51247	-121.57034	"F"	532	1125.488372	0.891378	4.051722	0.132781
"75"	"37A1"	"37A"	1	26.36418847	4.831639445	2.802575084	"Shallow"	"Hazeltine_Creek"	52.49656	-121.51662	"F"	847	1886.941176	0.828453	5.743246	0.010238
"76"	"37A2"	"37A"	2	25.07209318	3.475011677	2.015668026	"Shallow"	"Hazeltine_Creek"	52.49656	-121.51662	"F"	664	1441.190909	0.859804	4.749054	0.046283
"77"	"37A3"	"37A"	3	25.19782394	1.163636364	0.674963088	"Deep"	"Hazeltine_Creek"	52.49656	-121.51662	"F"	545	1365.649351	0.879811	4.117851	0.092091
"78"	"37A5"	"37A"	5	21.0788751	1.205287714	0.699122804	"Sediment"	"Hazeltine_Creek"	52.49656	-121.51662	"F"	759	1774.008403	0.832539	5.040977	0.036723
"79"	"37A6"	"37A"	6	21.6914478	1.572770658	0.912279964	"Sediment"	"Hazeltine_Creek"	52.49656	-121.51662	"F"	451	1011.625	0.898888	3.424433	0.158578
"80"	"38A1"	"38A"	1	18.56811119	1.863405806	1.080861836	"Shallow"	"Hazeltine_Creek"	52.49495	-121.50851	"F"	705	1300.546154	0.86635	5.296999	0.018006
"81"	"38A2"	"38A"	2	16.62581285	2.394938735	1.3891756	"Shallow"	"Hazeltine_Creek"	52.49495	-121.50851	"F"	534	1160.185185	0.892375	4.411463	0.059953
"82"	"38A3"	"38A"	3	19.29256315	7.306507395	4.238113338	"Deep"	"Hazeltine_Creek"	52.49495	-121.50851	"F"	550	1095.387097	0.892448	4.34685	0.067372
"83"	"39A1"	"39A"	1	23.43527243	-0.507821071	-0.294559786	"Shallow"	"Hazeltine_Creek"	52.496481	-121.516689	"F"	599	1297.709677	0.878287	4.629258	0.047551
"84"	"39A2"	"39A"	2	21.40288537	0.48827242	0.283220661	"Shallow"	"Hazeltine_Creek"	52.496481	-121.516689	"F"	853	1883.007812	0.824153	5.715536	0.010734
"85"	"3A2"	"3A"	2	23.44846953	30.29808973	17.57429798	"Shallow"	"Polley_Lake"	52.55397	-121.61114	"E"	1224	2778.005128	0.720388	6.576202	0.002562
"86"	"3A4"	"3A"	4	16.35969507	9.073854945	5.263256929	"Deep"	"Polley_Lake"	52.55397	-121.61114	"E"	1147	3235.888889	0.718706	6.182282	0.007001
"87"	"3A6"	"3A"	6	63.58313632	277.7221036	161.0917074	"Sediment"	"Polley_Lake"	52.55397	-121.61114	"E"	981	2142.67284	0.782347	5.941177	0.009844
"88"	"40A1"	"40A"	1	18.12586506	2.745605832	1.592578789	"Shallow"	"Hazeltine_Creek"	52.49505	-121.50841	"F"	382	647.73913	0.93531	3.585919	0.155756
"89"	"41A3"	"41A"	3	24.85936749	-0.052767316	-0.030607492	"Deep"	"Hazeltine_Creek"	52.50016	-121.55354	"F"	473	976.649351	0.906187	4.073732	0.071555
"90"	"41A4"	"41A"	4	19.27914425	3.015770707	1.749286953	"Deep"	"Hazeltine_Creek"	52.50016	-121.55354	"F"	685	1361.417323	0.858555	4.432962	0.08212
"91"	"42A1"	"42A"	1	23.51695331	2.307633138	1.338534303	"Shallow"	"Hazeltine_Creek"	52.50021	-121.55341	"F"	672	1213.5	0.876328	5.19919	0.027077
"92"	"42A3"	"42A"	3	18.275154	4.357079515	2.527308303	"Deep"	"Hazeltine_Creek"	52.50021	-121.55341	"F"	658	1198.243478	0.879357	5.236078	0.02126
"93"	"42A4"	"42A"	4	24.24559613	2.027468026	1.176025537	"Deep"	"Hazeltine_Creek"	52.50021	-121.55341	"F"	539	1177.121951	0.890169	4.390654	0.063984
"94"	"43A3"	"43A"	3	24.76111383	2.558208994	1.483879927	"Deep"	"Hazeltine_Creek"	52.50115	-121.50394	"F"	865	1686.032258	0.825862	5.540988	0.021827
"95"	"47A2"	"47A"	2	14.48914918	15.07013182	8.741375765	"Shallow"	"Hazeltine_Creek"	52.50695	-121.56316	"F"	805	1377.7	0.854794	5.781785	0.008202
"96"	"47A5"	"47A"	5	24.33989637	0.506766011	0.293947802	"Sediment"	"Hazeltine_Creek"	52.50695	-121.56316	"F"	514	955.105263	0.901894	4.400212	0.048975
"97"	"48A1"	"48A"	1	18.40103787	1.784943822	1.035350245	"Shallow"	"Hazeltine_Creek"	52.50697	-121.56307	"F"	391	600.571429	0.945136	4.778186	0.020081
"98"	"48A2"	"48A"	2	26.70405478	0.855617974	0.496298129	"Shallow"	"Hazeltine_Creek"	52.50697	-121.56307	"F"	589	1073.528302	0.891334	4.933305	0.025769
"99"	"48A3"	"48A"	3	9.37552992	2.956460374	1.714884208	"Deep"	"Hazeltine_Creek"	52.50697	-121.56307	"F"	453	1112.296875	0.901322	3.764813	0.102832
"100"	"48A4"	"48A"	4	16.23439374	4.376913088	2.538812696	"Deep"	"Hazeltine_Creek"	52.50697	-121.56307	"F"	498	782.012346	0.927094	4.795228	0.044546
"101"	"49A1"	"49A"	1	18.03840142	1.992530856	1.155760357	"Shallow"	"Hazeltine_Creek"	52.52316	-121.58804	"F"	540	1009.959184	0.896281	4.344835	0.068247
"102"	"49A3"	"49A"	3	19.58401919	-0.878912461	-0.509810012	"Deep"	"Hazeltine_Creek"	52.52316	-121.58804	"F"	611	1496.95	0.872073	4.880337	0.029803
"103"	"4A2"	"4A"	2	22.5598188	13.11793013	7.609008196	"Shallow"	"Polley_Lake"	52.54457	-121.60412	"D"	1530	3894.224066	0.622748	6.920088	0.001576
"104"	"4A3"	"4A"	3	31.72101167	88.2825395	51.20796954	"Deep"	"Polley_Lake"	52.54457	-121.60412	"D"	1597	4093.210728	0.586382	7.002763	0.001422
"105"	"4A4"	"4A"	4	22.26563038	32.75300009	18.99825992	"Deep"	"Polley_Lake"	52.54457	-121.60412	"D"	1265	3050.842365	0.689956	6.507377	0.00413
"106"	"4A5"	"4A"	5	22.84409567	8.604289711	4.990887303	"Sediment"	"Polley_Lake"	52.54457	-121.60412	"D"	1294	2902.152778	0.704255	6.64204	0.002577
"107"	"4A6"	"4A"	6	17.04687212	7.827282084	4.540186824	"Sediment"	"Polley_Lake"	52.54457	-121.60412	"D"	1385	3534.895735	0.664555	6.726341	0.002184
"108"	"50A4"	"50A"	4	16.75398887	15.8741479	9.207742402	"Deep"	"Hazeltine_Creek"	52.52278	-121.58916	"B"	897	2134.166667	0.797379	5.733311	0.012646
"109"	"51A6"	"51A"	6	26.93885037	8.297829316	4.813126053	"Sediment"	"Hazeltine_Creek"	52.52017	-121.58575	"F"	515	865.863636	0.913271	4.836121	0.036637
"110"	"52A1"	"52A"	1	25.81396043	20.26093836	11.75228443	"Shallow"	"Polley_Lake"	52.57729	-121.63311	"B"	1581	3987.509653	0.601214	6.979027	0.001531
"111"	"53A3"	"53A"	3	6.077269292	16.08136828	9.327939839	"Deep"	"Polley_Lake"	52.56397	-121.61057	"A"	1591	3965.694656	0.598706	7.028062	0.001214
"112"	"53A4"	"53A"	4	16.47334363	14.20128355	8.237403454	"Deep"	"Polley_Lake"	52.56397	-121.61057	"A"	1533	3908.083682	0.611516	6.985569	0.001229
"113"	"53A5"	"53A"	5	20.17114279	9.719592996	5.637814963	"Sediment"	"Polley_Lake"	52.56397	-121.61057	"A"	1359	3563.678756	0.671764	6.716196	0.002216
"114"	"54A5"	"54A"	5	31.43156977	6.019404209	3.491533764	"Sediment"	"Polley_Lake"	52.55655	-121.60291	"B"	1419	3914.029851	0.64531	6.678462	0.003409
"115"	"54A6"	"54A"	6	24.177079	7.262237037	4.212434476	"Sediment"	"Polley_Lake"	52.55655	-121.60291	"B"	1219	2695.100478	0.726799	6.336848	0.010239
"116"	"55A1"	"55A"	1	18.17331641	13.07334367	7.583145983	"Shallow"	"Polley_Lake"	52.54737	-121.59622	"A"	1559	4117.218487	0.599419	6.97358	0.00152
"117"	"55A4"	"55A"	4	20.51481012	11.12633838	6.453792566	"Deep"	"Polley_Lake"	52.54737	-121.59622	"A"	1568	4445.565789	0.573978	6.98425	0.00139
"118"	"56A1"	"56A"	1	22.24107737	13.87435053	8.04776713	"Shallow"	"Polley_Lake"	52.54146	-121.59127	"A"	1551	4172.924686	0.587629	6.964	0.001406
"119"	"56A2"	"56A"	2	28.97333104	10.08004322	5.846892819	"Shallow"	"Polley_Lake"	52.54146	-121.59127	"A"	1484	4037.210046	0.608003	6.855332	0.00213
"120"	"56A3"	"56A"	3	25.10993087	26.52382421	15.38504884	"Deep"	"Polley_Lake"	52.54146	-121.59127	"A"	1161	2827.327586	0.726195	6.307386	0.006991
"121"	"56A4"	"56A"	4	18.22358498	6.734537865	3.906344469	"Deep"	"Polley_Lake"	52.54146	-121.59127	"A"	1103	2616.684211	0.732839	6.306517	0.004782
"122"	"56A6"	"56A"	6	25.54104895	8.190649242	4.750956637	"Sediment"	"Polley_Lake"	52.54146	-121.59127	"A"	1242	3016.079602	0.702045	6.136065	0.021038
"123"	"57A3"	"57A"	3	16.99561404	13.67839558	7.934104165	"Deep"	"Polley_Lake"	52.53395	-121.59649	"A"	1432	3644.098214	0.635832	6.826512	0.001759
"124"	"57A4"	"57A"	4	24.85956582	19.73642845	11.44804435	"Deep"	"Polley_Lake"	52.53395	-121.59649	"A"	1391	3495.541667	0.653595	6.757937	0.002168
"125"	"57A4"	"57A"	4	22.00062572	17.2667367	10.01550853	"Deep"	"Polley_Lake"	52.53395	-121.59649	"A"	1391	3495.541667	0.653595	6.757937	0.002168
"126"	"58A2"	"58A"	2	20.32396416	8.252200996	4.78665951	"Shallow"	"Polley_Lake"	52.53203	-121.59511	"F"	1476	4184.610577	0.615774	6.783299	0.002791
"127"	"58A5"	"58A"	5	22.55340665	7.194620356	4.173213664	"Sediment"	"Polley_Lake"	52.53203	-121.59511	"F"	1540	4192.99569	0.607358	6.852369	0.002536
"128"	"58A6"	"58A"	6	39.14441351	17.13849239	9.941120873	"Sediment"	"Polley_Lake"	52.53203	-121.59511	"F"	1488	4226.704762	0.620311	6.784423	0.003087
"129"	"59A3"	"59A"	3	65.06553894	111.5710094	64.71636276	"Deep"	"Polley_Lake"	52.53119	-121.5946	"A"	1377	3992.193878	0.629209	6.517253	0.005676
"130"	"59A4"	"59A"	4	35.40084845	49.44822578	28.68226554	"Deep"	"Polley_Lake"	52.53119	-121.5946	"A"	1256	3173.005263	0.69058	6.464407	0.004704
"131"	"59A4"	"59A"	4	80.04426178	328.556108	190.5777889	"Deep"	"Polley_Lake"	52.53119	-121.5946	"A"	1256	3173.005263	0.69058	6.464407	0.004704
"132"	"5A1"	"5A"	1	26.69693194	38.28764499	22.20861078	"Shallow"	"Polley_Lake"	52.5386	-121.59941	"A"	1550	4089.480851	0.60754	6.984325	0.001222
"133"	"5A2"	"5A"	2	18.42554122	13.30211833	7.7158459	"Shallow"	"Polley_Lake"	52.5386	-121.59941	"A"	1488	4094.064516	0.617679	6.791218	0.003354
"134"	"5A3"	"5A"	3	17.69523136	10.41603622	6.041784349	"Deep"	"Polley_Lake"	52.5386	-121.59941	"A"	1127	2999.248521	0.71743	5.735904	0.028094
"135"	"5A4"	"5A"	4	28.02279303	55.47847378	32.1800892	"Deep"	"Polley_Lake"	52.5386	-121.59941	"A"	1361	3443.71564	0.662954	6.66285	0.002782
"136"	"5A5"	"5A"	5	19.24677649	10.4415341	6.056574305	"Sediment"	"Polley_Lake"	52.5386	-121.59941	"A"	1264	2918.137931	0.710554	6.549714	0.00348
"137"	"5A6"	"5A"	6	17.43419163	4.834418276	2.804186935	"Sediment"	"Polley_Lake"	52.5386	-121.59941	"A"	1424	3379.293103	0.663963	6.818996	0.001732
"138"	"60A1"	"60A"	1	25.52781581	7.493515869	4.346586931	"Shallow"	"Polley_Lake"	52.53034	-121.5942	"F"	985	2043.212291	0.776973	5.94733	0.010851
"139"	"60A2"	"60A"	2	30.61632977	6.305161235	3.657286099	"Shallow"	"Polley_Lake"	52.53034	-121.5942	"F"	1197	2815.181818	0.713006	6.279374	0.008472
"140"	"60A3"	"60A"	3	66.38621876	177.2700592	102.8248603	"Deep"	"Polley_Lake"	52.53034	-121.5942	"F"	1434	4125.585366	0.617122	6.590293	0.006608
"141"	"60A6"	"60A"	6	47.95345468	6.679232517	3.874264801	"Sediment"	"Polley_Lake"	52.53034	-121.5942	"F"	1159	3106.84375	0.713768	6.280477	0.006172
"142"	"6A1"	"6A"	1	18.48884881	4.823895649	2.798083323	"Shallow"	"Polley_Lake"	52.53566	-121.59691	"E"	1661	4884.563559	0.559914	7.025471	0.001569
"143"	"6A2"	"6A"	2	21.25028526	9.870863746	5.725559017	"Shallow"	"Polley_Lake"	52.53566	-121.59691	"E"	1568	4623.18894	0.580786	6.918398	0.002555
"144"	"6A3"	"6A"	3	30.44856865	23.92857958	13.87968653	"Deep"	"Polley_Lake"	52.53566	-121.59691	"E"	1677	5211.276316	0.54333	7.02614	0.001692
"145"	"6A4"	"6A"	4	23.2180833	13.15766162	7.632054305	"Deep"	"Polley_Lake"	52.53566	-121.59691	"E"	1572	4341.142259	0.581302	6.872174	0.003089
"146"	"6A5"	"6A"	5	24.87335959	18.23090053	10.57476829	"Sediment"	"Polley_Lake"	52.53566	-121.59691	"E"	1191	2769.186528	0.728537	6.261942	0.00796
"147"	"6A6"	"6A"	6	25.51350248	13.82204429	8.017427084	"Sediment"	"Polley_Lake"	52.53566	-121.59691	"E"	1226	2767.679245	0.715941	6.315352	0.006996
"148"	"7A2"	"7A"	2	19.69270768	14.33050623	8.3123586	"Shallow"	"Polley_Lake"	52.53753	-121.58754	"C"	1600	4550.120172	0.577602	6.980852	0.001589
"149"	"7A4"	"7A"	4	15.67951766	9.607205106	5.572624772	"Deep"	"Polley_Lake"	52.53753	-121.58754	"C"	1558	4114.572034	0.601667	6.978911	0.001519
"150"	"7A5"	"7A"	5	17.90994782	5.268771789	3.056132128	"Sediment"	"Polley_Lake"	52.53753	-121.58754	"C"	1385	3032.555102	0.687522	6.738651	0.002305
